SRA	Serovar
DRR070979	Typhi
DRR070980	Typhi
DRR070981	Typhi
DRR070982	Typhi
DRR070983	Typhi
DRR070984	Typhi
DRR070985	Typhi
DRR070986	Typhi
DRR070987	Typhi
DRR070988	Typhi
DRR070989	Typhi
DRR070990	Typhi
DRR070991	Typhi
DRR070992	Typhi
DRR070993	Typhi
DRR070994	Typhi
DRR070995	Typhi
DRR070996	Typhi
DRR070997	Typhi
DRR070998	Typhi
DRR070999	Typhi
DRR071000	Typhi
DRR071001	Typhi
DRR071002	Typhi
DRR071003	Typhi
DRR071004	Typhi
DRR071005	Typhi
DRR071006	Typhi
DRR071007	Typhi
DRR071008	Typhi
DRR071009	Typhi
DRR071010	Typhi
DRR071011	Typhi
DRR071012	Typhi
DRR071013	Typhi
DRR071014	Typhi
DRR071015	Typhi
DRR071016	Typhi
DRR071017	Typhi
DRR071018	Typhi
DRR071019	Typhi
DRR071020	Typhi
DRR071021	Typhi
DRR071022	Typhi
DRR071023	Typhi
DRR071024	Typhi
DRR071025	Typhi
DRR071026	Typhi
DRR071027	Typhi
DRR071028	Typhi
DRR071029	Typhi
DRR071030	Typhi
DRR071031	Typhi
DRR071032	Typhi
DRR071033	Typhi
DRR071034	Typhi
DRR071035	Typhi
DRR071036	Typhi
DRR071037	Typhi
DRR071038	Typhi
DRR071039	Typhi
DRR071040	Typhi
DRR071041	Typhi
DRR071042	Typhi
DRR071043	Typhi
DRR071044	Typhi
DRR071045	Typhi
DRR071046	Typhi
DRR071047	Typhi
DRR071048	Typhi
DRR071049	Typhi
DRR071050	Typhi
DRR071051	Typhi
DRR071052	Typhi
DRR071053	Typhi
DRR071054	Typhi
DRR071055	Typhi
DRR071056	Typhi
DRR071057	Typhi
DRR071058	Typhi
DRR071059	Typhi
DRR071060	Typhi
DRR071061	Typhi
DRR071062	Typhi
DRR071063	Typhi
DRR071064	Typhi
DRR071065	Typhi
DRR071066	Typhi
DRR071067	Typhi
DRR071068	Typhi
DRR071069	Typhi
DRR071070	Typhi
DRR071071	Typhi
ERR028947	Paratyphi A
ERR028956	Paratyphi A
ERR028962	Paratyphi A
ERR030042	Paratyphi A
