ArrayExpress_Species	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collected_by	collection_date	geo_loc_name	isolate_name_alias	isolation_source	lat_lon	serovar	strain	sub_species	Consent	LibrarySource
	WGS		194	PRJNA248792	SAMN07180003	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2871789	0	Illumina HiSeq 2500	PAIRED	RANDOM	345396	2017-05-31	307	140	Salmonella enterica subsp. enterica	ILLUMINA	2017-06-01	SRR5631923	SRS2241941	SRP042645	345396.biosample	PHE	Sep-2012	United Kingdom: United Kingdom	345396	human	Missing	Salmonella Paratyphi C	345396	enterica	public	GENOMIC
	WGS		196	PRJNA248792	SAMN07180579	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2872829	0	Illumina HiSeq 2500	PAIRED	RANDOM	345353	2017-05-31	335	153	Salmonella enterica subsp. enterica	ILLUMINA	2017-06-01	SRR5632978	SRS2242951	SRP042645	345353.biosample	PHE	Sep-2005	United Kingdom: United Kingdom	345353	human	Missing	Salmonella Paratyphi C	345353	enterica	public	GENOMIC
	WGS		196	PRJNA248792	SAMN07180611	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX2872873	0	Illumina HiSeq 2500	PAIRED	RANDOM	345398	2017-05-31	330	153	Salmonella enterica subsp. enterica	ILLUMINA	2017-06-01	SRR5633022	SRS2242995	SRP042645	345398.biosample	PHE	Sep-2012	United Kingdom: United Kingdom	345398	human	Missing	Salmonella Paratyphi C	345398	enterica	public	GENOMIC
	WGS		406	PRJEB19916	SAMEA104128441		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-20	2017-06-20	ERX2070721	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	272	179	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-21	ERR2011049	ERS1792334	ERP021993	67_14		1967			Blood		Paratyphi C (Predicted)			public	GENOMIC
	WGS		437	PRJEB19916	SAMEA104128442		WARWICK UNIVERSITY	minhash_sigrealignref_statssrawgmlst_sig	ncbi	2017-06-20	2017-06-20	ERX2070722	500	Illumina MiSeq	PAIRED	RANDOM	unspecified	2017-06-23	221	139	Salmonella enterica subsp. enterica serovar Paratyphi C	ILLUMINA	2017-06-21	ERR2011050	ERS1792335	ERP021993	58_2_CS		1958			Blood		Paratyphi C (Predicted)			public	GENOMIC
	WGS		196	PRJNA248792	SAMN07542339	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3115947	0	Illumina HiSeq 2500	PAIRED	RANDOM	304418	2017-08-23	369	165	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-24	SRR5957752	SRS2450895	SRP042645	304418.biosample	PHE	Sep-2016	United Kingdom: United Kingdom	304418	human	Missing	Salmonella Paratyphi B	304418	enterica	public	GENOMIC
	WGS		194	PRJNA248792	SAMN07566706	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3139004	0	Illumina HiSeq 2500	PAIRED	RANDOM	376281	2017-08-28	347	161	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5983000	SRS2471916	SRP042645	376281.biosample	PHE	May-2017	United Kingdom: United Kingdom	376281	human	Missing	Salmonella Paratyphi B	376281	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568769	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141659	0	Illumina HiSeq 2500	PAIRED	RANDOM	243874	2017-08-28	329	149	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985720	SRS2474418	SRP042645	243874.biosample	PHE	Apr-2016	United Kingdom: United Kingdom	243874	human	Missing	Salmonella Paratyphi B	243874	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568762	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141663	0	Illumina HiSeq 2500	PAIRED	RANDOM	163226	2017-08-28	282	129	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985724	SRS2474421	SRP042645	163226.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	163226	human	Missing	Salmonella Paratyphi B	163226	enterica	public	GENOMIC
	WGS		200	PRJNA248792	SAMN07568777	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3141666	0	Illumina HiSeq 2500	PAIRED	RANDOM	149240	2017-08-28	233	102	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5985727	SRS2474424	SRP042645	149240.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	149240	human	Missing	Salmonella Paratyphi B	149240	enterica	public	GENOMIC
