Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collected_by	collection_date	geo_loc_name	host	host_disease	isolate_name_alias	isolation_source	lat_lon	potential_contaminant	sequence_type	serovar	strain	sub_species	Consent	LibrarySource
WGS		183	PRJNA248792	SAMN03152365	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747360	0	Illumina HiSeq 2500	PAIRED	RANDOM	H124220640	2014-10-30	241	98	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635060	SRS733728	SRP042645	H124220640.biosample	PHE	2012-10	United Kingdom: North of England	Homo sapiens	Not available	H124220640	Human	Missing	None detected	11	Salmonella Enteritidis	H124220640	enterica	public	GENOMIC
WGS		196	PRJNA248792	SAMN03152367	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747367	0	Illumina HiSeq 2500	PAIRED	RANDOM	H123560722	2014-10-30	277	124	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635065	SRS733735	SRP042645	H123560722.biosample	PHE	2012-08	United Kingdom: South of England	Homo sapiens	Not available	H123560722	Human	Missing	None detected	11	Salmonella Enteritidis	H123560722	enterica	public	GENOMIC
WGS		182	PRJNA248792	SAMN03152366	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747368	0	Illumina HiSeq 2500	PAIRED	RANDOM	H123660400	2014-10-30	189	79	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635066	SRS733736	SRP042645	H123660400.biosample	PHE	2012-09	United Kingdom: South of England	Homo sapiens	Not available	H123660400	Human	Missing	None detected	11	Salmonella Enteritidis	H123660400	enterica	public	GENOMIC
WGS		197	PRJNA248792	SAMN03152374	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747373	0	Illumina HiSeq 2500	PAIRED	RANDOM	H124260464	2014-10-30	292	130	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635072	SRS733741	SRP042645	H124260464.biosample	PHE	2012-10	United Kingdom: South of England	Homo sapiens	Not available	H124260464	Human	Missing	None detected	11	Salmonella Enteritidis	H124260464	enterica	public	GENOMIC
WGS		197	PRJNA248792	SAMN03152385	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747390	0	Illumina HiSeq 2500	PAIRED	RANDOM	H122600589	2014-10-30	244	109	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635087	SRS733758	SRP042645	H122600589.biosample	PHE	2012-06	United Kingdom: London	Homo sapiens	Not available	H122600589	Human	Missing	None detected	11	Salmonella Enteritidis	H122600589	enterica	public	GENOMIC
WGS		196	PRJNA248792	SAMN03152389	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747394	0	Illumina HiSeq 2500	PAIRED	RANDOM	H122820787	2014-10-30	356	163	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635092	SRS733762	SRP042645	H122820787.biosample	PHE	2012-07	United Kingdom: North of England	Homo sapiens	Not available	H122820787	Human	Missing	None detected	11	Salmonella Enteritidis	H122820787	enterica	public	GENOMIC
WGS		196	PRJNA248792	SAMN03152401	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747403	0	Illumina HiSeq 2500	PAIRED	RANDOM	H124040561	2014-10-30	318	144	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635101	SRS733767	SRP042645	H124040561.biosample	PHE	2012-10	United Kingdom: Midlands and East of England	Homo sapiens	Not available	H124040561	Human	Missing	None detected	11	Salmonella Enteritidis	H124040561	enterica	public	GENOMIC
WGS		278	PRJNA248792	SAMN03152407	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747405	0	Illumina HiSeq 2500	PAIRED	RANDOM	H121560545	2014-10-30	455	267	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635103	SRS733769	SRP042645	H121560545.biosample	PHE	2012-04	United Kingdom: North of England	Homo sapiens	Not available	H121560545	Human	Missing	None detected	11	Salmonella Enteritidis	H121560545	enterica	public	GENOMIC
WGS		194	PRJNA248792	SAMN03152413	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747416	0	Illumina HiSeq 2500	PAIRED	RANDOM	H121840555	2014-10-30	701	349	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635113	SRS733776	SRP042645	H121840555.biosample	PHE	2012-05	United Kingdom: Midlands and East of England	Homo sapiens	Not available	H121840555	Human	Missing	None detected	11	Salmonella Enteritidis	H121840555	enterica	public	GENOMIC
WGS		195	PRJNA248792	SAMN03152414	Pathogen.cl	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747418	0	Illumina HiSeq 2500	PAIRED	RANDOM	H122800341	2014-10-30	588	277	Salmonella enterica subsp. enterica serovar Enteritidis	ILLUMINA	2014-11-05	SRR1635115	SRS733777	SRP042645	H122800341.biosample	PHE	2012-07	United Kingdom: London	Homo sapiens	Not available	H122800341	Human	Missing	None detected	11	Salmonella Enteritidis	H122800341	enterica	public	GENOMIC
