ArrayExpress_Species	ArrayExpress_StrainOrLine	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	anonymized_name	collection_date	geographic_location_country_and_or_sea	host_health_state	isolation_source	serovar	specific_host	strain	supplier_name	Consent	LibrarySource
		WGS		192	PRJNA248792	SAMN04362935	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497596	0	Illumina HiSeq 2500	PAIRED	RANDOM	18673	2015-12-22	288	121	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048567	SRS1219268	SRP042645	18673.biosample		None			Human	Salmonella Typhi		18673		public	GENOMIC
		WGS		192	PRJNA248792	SAMN04363012	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497712	0	Illumina HiSeq 2500	PAIRED	RANDOM	53042	2015-12-22	346	142	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048758	SRS1219478	SRP042645	53042.biosample		None			Human	Salmonella Typhi		53042		public	GENOMIC
		WGS		168	PRJNA248792	SAMN04363015	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497715	0	Illumina HiSeq 2500	PAIRED	RANDOM	56940	2015-12-22	289	127	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048761	SRS1219373	SRP042645	56940.biosample		None			Human	Salmonella Typhi		56940		public	GENOMIC
		WGS		193	PRJNA248792	SAMN04363076	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497777	0	Illumina HiSeq 2500	PAIRED	RANDOM	18668	2015-12-22	201	84	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048826	SRS1219426	SRP042645	18668.biosample		None			Human	Salmonella Typhi		18668		public	GENOMIC
		WGS		168	PRJNA248792	SAMN04363107	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497807	0	Illumina HiSeq 2500	PAIRED	RANDOM	56973	2015-12-22	250	112	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048855	SRS1219457	SRP042645	56973.biosample		None			Human	Salmonella Typhi		56973		public	GENOMIC
		WGS		194	PRJNA248792	SAMN04363111	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497811	0	Illumina HiSeq 2500	PAIRED	RANDOM	21852	2015-12-22	221	87	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048859	SRS1219599	SRP042645	21852.biosample		None			Human	Salmonella Typhi		21852		public	GENOMIC
		WGS		192	PRJNA248792	SAMN04363116	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497816	0	Illumina HiSeq 2500	PAIRED	RANDOM	18669	2015-12-22	143	60	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048864	SRS1219462	SRP042645	18669.biosample		None			Human	Salmonella Typhi		18669		public	GENOMIC
		WGS		197	PRJNA248792	SAMN04363187	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497895	0	Illumina HiSeq 2500	PAIRED	RANDOM	56975	2015-12-22	328	148	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048943	SRS1219548	SRP042645	56975.biosample		None			Human	Salmonella Typhi		56975		public	GENOMIC
		WGS		195	PRJNA248792	SAMN04363198	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497908	0	Illumina HiSeq 2500	PAIRED	RANDOM	82540	2015-12-22	411	199	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048958	SRS1219567	SRP042645	82540.biosample		None			Human	Salmonella Typhi		82540		public	GENOMIC
		WGS		190	PRJNA248792	SAMN04363218	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497928	0	Illumina HiSeq 2500	PAIRED	RANDOM	15251	2015-12-22	155	67	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048978	SRS1219580	SRP042645	15251.biosample		None			Human	Salmonella Typhi		15251		public	GENOMIC
		WGS		193	PRJNA248792	SAMN04363222	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497932	0	Illumina HiSeq 2500	PAIRED	RANDOM	15252	2015-12-22	121	48	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048982	SRS1219588	SRP042645	15252.biosample		None			Human	Salmonella Typhi		15252		public	GENOMIC
		WGS		191	PRJNA248792	SAMN04363229	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1497939	0	Illumina HiSeq 2500	PAIRED	RANDOM	53067	2015-12-22	365	153	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3048989	SRS1219591	SRP042645	53067.biosample		None			Human	Salmonella Typhi		53067		public	GENOMIC
		WGS		168	PRJNA248792	SAMN04363286	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498003	0	Illumina HiSeq 2500	PAIRED	RANDOM	56974	2015-12-22	273	124	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049053	SRS1219665	SRP042645	56974.biosample		None			Human	Salmonella Typhi		56974		public	GENOMIC
		WGS		194	PRJNA248792	SAMN04363326	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498040	0	Illumina HiSeq 2500	PAIRED	RANDOM	21093	2015-12-22	227	90	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049090	SRS1219689	SRP042645	21093.biosample		None			Human	Salmonella Typhi		21093		public	GENOMIC
		WGS		194	PRJNA248792	SAMN04363354	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498072	0	Illumina HiSeq 2500	PAIRED	RANDOM	21824	2015-12-22	236	94	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049117	SRS1219729	SRP042645	21824.biosample		None			Human	Salmonella Typhi		21824		public	GENOMIC
		WGS		189	PRJNA248792	SAMN04363361	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498079	0	Illumina HiSeq 2500	PAIRED	RANDOM	18575	2015-12-22	175	77	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049124	SRS1219737	SRP042645	18575.biosample		None			Human	Salmonella Typhi		18575		public	GENOMIC
		WGS		194	PRJNA248792	SAMN04363397	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498114	0	Illumina HiSeq 2500	PAIRED	RANDOM	21133	2015-12-22	237	94	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049159	SRS1219765	SRP042645	21133.biosample		None			Human	Salmonella Typhi		21133		public	GENOMIC
		WGS		190	PRJNA248792	SAMN04363430	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498145	0	Illumina HiSeq 2500	PAIRED	RANDOM	15250	2015-12-22	201	86	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049189	SRS1219811	SRP042645	15250.biosample		None			Human	Salmonella Typhi		15250		public	GENOMIC
		WGS		189	PRJNA248792	SAMN04363435	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498150	0	Illumina HiSeq 2500	PAIRED	RANDOM	18541	2015-12-22	184	82	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049193	SRS1219806	SRP042645	18541.biosample		None			Human	Salmonella Typhi		18541		public	GENOMIC
		WGS		183	PRJNA248792	SAMN04363440	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498155	0	Illumina HiSeq 2500	PAIRED	RANDOM	45205	2015-12-22	105	69	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049198	SRS1219800	SRP042645	45205.biosample		None			Human	Salmonella Typhi		45205		public	GENOMIC
		WGS		194	PRJNA248792	SAMN04363587	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498250	0	Illumina HiSeq 2500	PAIRED	RANDOM	60161	2015-12-22	112	45	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049293	SRS1219902	SRP042645	60161.biosample		None			Human	Salmonella Typhi		60161		public	GENOMIC
		WGS		195	PRJNA248792	SAMN04363593	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498256	0	Illumina HiSeq 2500	PAIRED	RANDOM	95261	2015-12-22	310	155	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049299	SRS1220030	SRP042645	95261.biosample		None			Human	Salmonella Typhi		95261		public	GENOMIC
		WGS		197	PRJNA248792	SAMN04363595	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498258	0	Illumina HiSeq 2500	PAIRED	RANDOM	56972	2015-12-22	312	140	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049301	SRS1219914	SRP042645	56972.biosample		None			Human	Salmonella Typhi		56972		public	GENOMIC
		WGS		192	PRJNA248792	SAMN04363649	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498312	0	Illumina HiSeq 2500	PAIRED	RANDOM	53052	2015-12-22	286	118	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049355	SRS1219967	SRP042645	53052.biosample		None			Human	Salmonella Typhi		53052		public	GENOMIC
		WGS		168	PRJNA248792	SAMN04363706	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498369	0	Illumina HiSeq 2500	PAIRED	RANDOM	56941	2015-12-22	273	120	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049411	SRS1220019	SRP042645	56941.biosample		None			Human	Salmonella Typhi		56941		public	GENOMIC
		WGS		188	PRJNA248792	SAMN04363872	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1498540	0	Illumina HiSeq 2500	PAIRED	RANDOM	29314	2015-12-22	226	100	Salmonella enterica subsp. enterica	ILLUMINA	2015-12-22	SRR3049581	SRS1220193	SRP042645	29314.biosample		None			Human	Salmonella Typhi		29314		public	GENOMIC
